Date,rel_day,error,model,event_name
2008-07-07,-64.0,-3.3644993,MLP1Y,2008 Financial Crisis
2008-07-08,-63.0,0.66496,MLP1Y,2008 Financial Crisis
2008-07-09,-62.0,-1.9978983,MLP1Y,2008 Financial Crisis
2008-07-10,-61.0,-0.15679884,MLP1Y,2008 Financial Crisis
2008-07-11,-60.0,2.9291275,MLP1Y,2008 Financial Crisis
2008-07-14,-59.0,-0.1412375,MLP1Y,2008 Financial Crisis
2008-07-15,-58.0,1.384932,MLP1Y,2008 Financial Crisis
2008-07-16,-57.0,-2.3826098,MLP1Y,2008 Financial Crisis
2008-07-17,-56.0,-2.8833542,MLP1Y,2008 Financial Crisis
2008-07-18,-55.0,-2.6978135,MLP1Y,2008 Financial Crisis
2008-07-21,-54.0,-0.07437229,MLP1Y,2008 Financial Crisis
2008-07-22,-53.0,-0.3185687,MLP1Y,2008 Financial Crisis
2008-07-23,-52.0,-2.5965433,MLP1Y,2008 Financial Crisis
2008-07-24,-51.0,1.81954,MLP1Y,2008 Financial Crisis
2008-07-25,-50.0,-1.1849631,MLP1Y,2008 Financial Crisis
2008-07-28,-49.0,1.8474096,MLP1Y,2008 Financial Crisis
2008-07-29,-48.0,-0.09991938,MLP1Y,2008 Financial Crisis
2008-07-30,-47.0,-1.0154856,MLP1Y,2008 Financial Crisis
2008-07-31,-46.0,0.21545947,MLP1Y,2008 Financial Crisis
2008-08-01,-45.0,1.4991294,MLP1Y,2008 Financial Crisis
2008-08-04,-44.0,1.3371081,MLP1Y,2008 Financial Crisis
2008-08-05,-43.0,-2.6683161,MLP1Y,2008 Financial Crisis
2008-08-06,-42.0,0.72499317,MLP1Y,2008 Financial Crisis
2008-08-07,-41.0,0.7707217,MLP1Y,2008 Financial Crisis
2008-08-08,-40.0,-0.996474,MLP1Y,2008 Financial Crisis
2008-08-11,-39.0,0.02267313,MLP1Y,2008 Financial Crisis
2008-08-12,-38.0,0.619823,MLP1Y,2008 Financial Crisis
2008-08-13,-37.0,2.9860692,MLP1Y,2008 Financial Crisis
2008-08-14,-36.0,-0.27048284,MLP1Y,2008 Financial Crisis
2008-08-15,-35.0,-0.65596724,MLP1Y,2008 Financial Crisis
2008-08-18,-34.0,0.65649104,MLP1Y,2008 Financial Crisis
2008-08-19,-33.0,1.7768224,MLP1Y,2008 Financial Crisis
2008-08-20,-32.0,-0.64555943,MLP1Y,2008 Financial Crisis
2008-08-21,-31.0,1.2530788,MLP1Y,2008 Financial Crisis
2008-08-22,-30.0,-1.6342182,MLP1Y,2008 Financial Crisis
2008-08-25,-29.0,1.9172003,MLP1Y,2008 Financial Crisis
2008-08-26,-28.0,-0.5501593,MLP1Y,2008 Financial Crisis
2008-08-27,-27.0,-0.2094641,MLP1Y,2008 Financial Crisis
2008-08-28,-26.0,-2.4403758,MLP1Y,2008 Financial Crisis
2008-08-29,-25.0,0.25506735,MLP1Y,2008 Financial Crisis
2008-09-01,-24.0,0.28137526,MLP1Y,2008 Financial Crisis
2008-09-02,-23.0,-1.235721,MLP1Y,2008 Financial Crisis
2008-09-03,-22.0,2.9066594,MLP1Y,2008 Financial Crisis
2008-09-04,-21.0,2.6625695,MLP1Y,2008 Financial Crisis
2008-09-05,-20.0,2.475268,MLP1Y,2008 Financial Crisis
2008-09-08,-19.0,-3.3842065,MLP1Y,2008 Financial Crisis
2008-09-09,-18.0,0.75704664,MLP1Y,2008 Financial Crisis
2008-09-10,-17.0,0.7134404,MLP1Y,2008 Financial Crisis
2008-09-11,-16.0,-0.23071623,MLP1Y,2008 Financial Crisis
2008-09-12,-15.0,-1.815804,MLP1Y,2008 Financial Crisis
2008-09-15,-14.0,2.8101082,MLP1Y,2008 Financial Crisis
2008-09-16,-13.0,3.3245015,MLP1Y,2008 Financial Crisis
2008-09-17,-12.0,1.4466462,MLP1Y,2008 Financial Crisis
2008-09-18,-11.0,0.84942883,MLP1Y,2008 Financial Crisis
2008-09-19,-10.0,-8.123214,MLP1Y,2008 Financial Crisis
2008-09-22,-9.0,3.0183551,MLP1Y,2008 Financial Crisis
