Date,EUROSTOXX50_ret,BRENTOIL_ret,SR5Y,SR10Y,SR30Y,EONIA_ESTR,LOGM2REAL,EURO_ret
2004-09-06,0.3271100590601428,-1.631361090820549,3.483732,4.262767,5.056951,2.075,15.94590599820812,-0.47676507947749247
2004-09-07,0.12887988262273442,-0.5198019801980203,3.507232,4.260667,5.048499,2.085,15.94590599820812,0.05181867114301131
2004-09-08,-0.18052582899048542,-0.6966907190843474,3.537117,4.280397,5.048763,1.965,15.94590599820812,-0.24683185343640224
2004-09-09,-0.5903976236593667,3.8586820345778206,3.458998,4.215735,5.008323,1.955,15.94590599820812,0.8104271424536513
2004-09-10,0.553519510676459,-1.013268998793726,3.39944,4.175095,4.979773,1.955,15.94590599820812,0.20564769503208513
2004-09-13,1.2745015811587823,-0.9748964172556662,3.437785,4.190623,4.998307,1.955,15.94590599820812,-0.022893337857710083
2004-09-14,-0.3304420785327222,1.7474772335712485,3.42289,4.18491,4.987727,1.955,15.94590599820812,-0.032944992723138444
2004-09-15,-0.2857344818805285,1.669085631349776,3.422519,4.182229,4.981614,1.955,15.94590599820812,0.01412393572521875
2004-09-16,0.07684119605018136,-3.2119914346895095,3.430938,4.182469,4.975332,1.955,15.94590599820812,-0.47118399803016686
2004-09-17,0.8232388031293558,5.899705014749257,3.383288,4.158154,5.003229,1.955,15.94590599820812,0.29851044923003833
2004-09-20,-0.44959998685057956,1.20705663881151,3.37589,4.133185,4.937126,1.955,15.94590599820812,-0.43573241586193356
2004-09-21,0.5248601883653059,2.2018348623853212,3.385402,4.140162,4.942264,1.955,15.94590599820812,0.6715327669372329
2004-09-22,-1.110662324481393,2.4685816876121924,3.372748,4.11852,4.912732,1.955,15.94590599820812,-0.0633307066168931
2004-09-23,-0.8779912012873203,1.9053876478318132,3.287085,4.05097,4.855562,1.955,15.94590599820812,0.3394866418796161
2004-09-24,0.16879282942705576,-0.8596604341285174,3.341424,4.090421,4.892928,1.955,15.94590599820812,-0.04466061988940284
2004-09-27,-0.5460070587833266,1.6041621504443881,3.313635,4.066983,4.863442,1.955,15.94590599820812,-0.30066867413328646
2004-09-28,0.31517139291825647,1.3868145935566512,3.307683,4.065095,4.868543,1.955,15.94590599820812,0.4744086414801618
2004-09-29,0.463548045062967,-2.0622895622895654,3.350334,4.104134,4.911009,1.955,15.94590599820812,-0.07334833339791569
2004-09-30,-0.7304044319658365,2.621400945423291,3.356526,4.115249,4.949838,2.005,15.953232860325553,0.5086752530977234
2004-10-01,2.5593064513601993,-1.8844221105527637,3.352226,4.138113,4.955839,1.965,15.953232860325553,0.037950834380051646
2004-10-04,0.9791339775820251,0.27742210840802084,3.393394,4.167806,4.954348,1.965,15.953232860325553,-0.5632170816207371
